Date=Thu Mar 12 2020 09:01:55 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:13:57 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:14:13 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:22:54 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:26:06 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:27:13 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 09:43:17 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 10:28:02 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 10:55:15 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getMyAccounts	 request=0122855432	 response=N/A
Date=Thu Mar 12 2020 10:55:15 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccountsTransStat	 request={"accno":"0122855432","cDate":"12-Mar-2020","cMonthStartDate":"01-Mar-2020","cMonthEndDate":"31-Mar-2020","cYearStartDate":"01-Jan-2020","cYearEndDate":"31-Dec-2020"}	 response=N/A
Date=Thu Mar 12 2020 10:55:52 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccounts	 request=0242046129	 response=N/A
Date=Thu Mar 12 2020 10:55:53 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccountsTransStat	 request={"accno":"0242046129","cDate":"12-Mar-2020","cMonthStartDate":"01-Mar-2020","cMonthEndDate":"31-Mar-2020","cYearStartDate":"01-Jan-2020","cYearEndDate":"31-Dec-2020"}	 response=N/A
Date=Thu Mar 12 2020 10:56:06 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getBankAccountStatement	 request={"accno":"0242046129","datefrom":"11-Mar-2020","dateto":"12-Mar-2020","myaccount":"1"}	 response=N/A
Date=Thu Mar 12 2020 11:21:08 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccounts	 request=0242046129	 response=N/A
Date=Thu Mar 12 2020 11:21:09 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccountsTransStat	 request={"accno":"0242046129","cDate":"12-Mar-2020","cMonthStartDate":"01-Mar-2020","cMonthEndDate":"31-Mar-2020","cYearStartDate":"01-Jan-2020","cYearEndDate":"31-Dec-2020"}	 response=N/A
Date=Thu Mar 12 2020 12:40:17 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 13:00:45 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 14:02:04 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 14:06:36 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 14:11:39 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getStaffAccouthWithStaffId	 request=08472	 response={"err":{"name":"RequestError","message":"Error: connect ETIMEDOUT 172.27.4.137:9090","cause":{"errno":"ETIMEDOUT","code":"ETIMEDOUT","syscall":"connect","address":"172.27.4.137","port":9090},"error":{"errno":"ETIMEDOUT","code":"ETIMEDOUT","syscall":"connect","address":"172.27.4.137","port":9090},"options":{"withCredentials":true,"jar":{"_jar":{"version":"tough-cookie@2.4.3","storeType":"MemoryCookieStore","rejectPublicSuffixes":true,"cookies":[]}},"json":true,"body":{"dbquery":"select a.foracid accountnumber,a.cif_id customerid,a.emp_id from tbaadm.gam a\n                            where acct_ownership = 'E' and a.emp_id = 'S08472' and a.acct_cls_flg = 'N' \n                            and ROWNUM = 1"},"uri":"http://172.27.4.137:9090/livedb","method":"POST","simple":true,"resolveWithFullResponse":false,"transform2xxOnly":false}},"message":"Could not retrieve staff account"}
Date=Thu Mar 12 2020 14:27:41 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 15:06:49 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Thu Mar 12 2020 15:42:11 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getMyAccounts	 request=0122855432	 response=N/A
Date=Thu Mar 12 2020 15:42:12 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 getCustomerAccountsTransStat	 request={"accno":"0122855432","cDate":"12-Mar-2020","cMonthStartDate":"01-Mar-2020","cMonthEndDate":"31-Mar-2020","cYearStartDate":"01-Jan-2020","cYearEndDate":"31-Dec-2020"}	 response=N/A
