Date=Fri May 08 2020 10:36:34 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 11:12:23 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 11:27:29 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 11:42:20 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 13:48:29 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 14:03:52 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 add_menu_items_SpecialRoles	 request={"submenu_id":"Top-Depositors001","access_level_id":"G","status":"Y","userid":"olanrewaju.akinsanya"}	 response=N/A
Date=Fri May 08 2020 14:04:25 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 add_menu_items_SpecialRoles	 request={"submenu_id":"Top-Depositors001","access_level_id":"G","status":"Y","userid":"Regina.Abisuga@Wemabank.com"}	 response=N/A
Date=Fri May 08 2020 14:05:11 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 add_menu_items_SpecialRoles	 request={"submenu_id":"unrealized-transactions01","access_level_id":"G","status":"Y","userid":"Regina.Abisuga@Wemabank.com"}	 response=N/A
Date=Fri May 08 2020 14:05:18 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 add_menu_items_SpecialRoles	 request={"submenu_id":"unrealized-transactions01","access_level_id":"G","status":"Y","userid":"olanrewaju.akinsanya"}	 response=N/A
Date=Fri May 08 2020 14:05:34 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=Olanrewaju.Akinsanya	 update_menu_items_SpecialRoles	 request={"submenu_id":"unrealized-transactions01","access_level_id":"G","status":"Y","userid":"Regina.Abisuga","idno":324}	 response=N/A
Date=Fri May 08 2020 14:05:44 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
Date=Fri May 08 2020 15:48:19 GMT+0100 (West Africa Standard Time)	 UserIP=	 User=olanrewaju.akinsanya	 Login Successful	 request=olanrewaju.akinsanya	 response=N/A
